Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,1542.099976,1559.900024,1538.699951,1551.699951,1551.699951,32807436
2019-10-22,1555.500000,1560.300049,1547.099976,1550.000000,1550.000000,24131543
2019-10-23,1548.699951,1558.000000,1545.199951,1555.800049,1555.800049,22121339
2019-10-24,1554.900024,1560.000000,1544.099976,1549.300049,1549.300049,25225940
2019-10-25,1550.500000,1564.900024,1547.599976,1558.800049,1558.800049,22301488
2019-10-27,1560.199951,1561.699951,1559.800049,1560.500000,1560.500000,32986
2019-10-28,1560.800049,1579.599976,1559.699951,1574.300049,1574.300049,28217592
2019-10-29,1573.300049,1582.900024,1568.000000,1577.300049,1577.300049,27722280
2019-10-30,1576.000000,1579.699951,1562.099976,1573.699951,1573.699951,25049317
2019-10-31,1574.199951,1575.800049,1551.099976,1561.900024,1561.900024,35147514
2019-11-01,1565.599976,1591.000000,1563.300049,1589.599976,1589.599976,36091156
2019-11-03,1589.699951,1594.000000,1589.699951,1593.300049,1593.300049,15062
2019-11-04,1593.599976,1605.800049,1592.199951,1601.099976,1601.099976,33569190
2019-11-05,1600.000000,1613.400024,1598.199951,1599.199951,1599.199951,36773769
2019-11-06,1597.500000,1602.400024,1586.900024,1592.099976,1592.099976,32141805
2019-11-07,1591.400024,1610.599976,1590.400024,1595.500000,1595.500000,37945466
2019-11-08,1591.199951,1601.300049,1588.699951,1600.500000,1600.500000,30974000
2019-11-10,1600.099976,1600.599976,1599.099976,1599.300049,1599.300049,3557
2019-11-11,1594.300049,1597.800049,1587.199951,1596.099976,1596.099976,26545414
2019-11-12,1596.400024,1607.199951,1593.099976,1594.099976,1594.099976,27775269
2019-11-13,1590.800049,1594.000000,1579.699951,1592.599976,1592.599976,37232915
2019-11-14,1590.800049,1597.099976,1585.800049,1590.000000,1590.000000,31428078
2019-11-15,1597.199951,1600.800049,1591.300049,1597.500000,1597.500000,30661727
2019-11-17,1598.400024,1598.400024,1594.000000,1594.300049,1594.300049,13200
2019-11-18,1594.900024,1601.199951,1587.000000,1590.900024,1590.900024,29376538
2019-11-19,1593.400024,1605.000000,1590.699951,1595.400024,1595.400024,32000282
2019-11-20,1595.000000,1603.800049,1580.199951,1591.900024,1591.900024,40599754
2019-11-21,1590.400024,1599.000000,1579.400024,1583.900024,1583.900024,41294773
2019-11-22,1586.500000,1592.800049,1580.599976,1591.599976,1591.599976,34611365
2019-11-24,1595.400024,1597.000000,1594.599976,1595.400024,1595.400024,27389
2019-11-25,1595.599976,1625.500000,1594.099976,1623.300049,1623.300049,34593024
2019-11-26,1624.800049,1632.599976,1619.800049,1627.000000,1627.000000,35791694
2019-11-27,1627.500000,1636.400024,1625.900024,1629.900024,1629.900024,28270418
2019-11-29,null,null,null,null,null,null
2019-12-01,1625.099976,1627.800049,1625.099976,1627.099976,1627.099976,37837
2019-12-02,1630.099976,1635.400024,1605.500000,1607.900024,1607.900024,44603997
2019-12-03,1613.800049,1614.500000,1587.500000,1605.800049,1605.800049,49499174
2019-12-04,1606.199951,1618.500000,1599.099976,1613.300049,1613.300049,36017059
2019-12-05,1613.699951,1622.699951,1610.599976,1617.500000,1617.500000,31638345
2019-12-06,1618.800049,1640.300049,1616.800049,1636.699951,1636.699951,37326015
2019-12-08,1636.599976,1637.699951,1635.900024,1636.000000,1636.000000,20002
2019-12-09,1632.199951,1637.800049,1628.599976,1630.500000,1630.500000,25393230
2019-12-10,1630.900024,1636.000000,1619.099976,1632.500000,1632.500000,31258461
2019-12-11,1632.099976,1637.599976,1626.400024,1635.800049,1635.800049,26872611
2019-12-12,1635.900024,1657.099976,1628.199951,1654.300049,1654.300049,54417972
2019-12-13,1653.099976,1660.199951,1631.400024,1644.300049,1644.300049,76268323
2019-12-15,1645.500000,1647.400024,1641.900024,1645.400024,1645.400024,23751
2019-12-16,1645.199951,1664.199951,1643.699951,1654.699951,1654.699951,63273940
2019-12-17,1655.500000,1661.300049,1647.099976,1660.300049,1660.300049,46599440
2019-12-18,1660.300049,1669.000000,1655.099976,1667.500000,1667.500000,39514601
2019-12-19,1665.800049,1674.199951,1660.900024,1673.599976,1673.599976,27595386
2019-12-20,1672.599976,1679.699951,1666.500000,1672.699951,1672.699951,28886650
2019-12-22,1673.800049,1675.500000,1673.099976,1675.199951,1675.199951,29863
2019-12-23,1676.300049,1677.800049,1667.800049,1674.900024,1674.900024,8062543
2019-12-24,null,null,null,null,null,null
2019-12-26,null,null,null,null,null,null
2019-12-27,1684.400024,1687.800049,1668.500000,1669.000000,1669.000000,28381822
2019-12-29,1669.500000,1672.500000,1669.500000,1672.300049,1672.300049,35676
2019-12-30,1673.800049,1675.900024,1659.400024,1668.900024,1668.900024,32206149
2019-12-31,1670.800049,1676.900024,1660.599976,1674.099976,1674.099976,29536724
2020-01-02,1675.699951,1684.800049,1654.599976,1672.699951,1672.699951,49217231
2020-01-03,1655.500000,1666.400024,1639.699951,1661.900024,1661.900024,60115614
2020-01-05,1653.199951,1655.599976,1651.199951,1655.400024,1655.400024,127797
2020-01-06,1658.099976,1667.900024,1646.599976,1662.599976,1662.599976,45561199
2020-01-07,1667.900024,1669.400024,1635.300049,1640.199951,1640.199951,40361713
2020-01-08,1650.300049,1672.300049,1649.099976,1669.199951,1669.199951,72255642
2020-01-09,1669.599976,1676.599976,1664.300049,1668.599976,1668.599976,35833974
2020-01-10,1670.800049,1672.000000,1653.400024,1657.599976,1657.599976,42347309
2020-01-12,1657.000000,1661.400024,1657.000000,1659.400024,1659.400024,70939
2020-01-13,1662.699951,1672.900024,1652.000000,1672.699951,1672.699951,36124445
2020-01-14,1669.500000,1687.400024,1660.900024,1673.900024,1673.900024,51890707
2020-01-15,1672.199951,1691.199951,1671.000000,1689.099976,1689.099976,43480265
2020-01-16,1689.800049,1711.199951,1689.699951,1708.800049,1708.800049,55348575
2020-01-17,1707.199951,1715.099976,1698.099976,1698.699951,1698.699951,40574435
2020-01-19,1698.900024,1701.900024,1698.400024,1701.800049,1701.800049,32391
2020-01-21,1692.900024,1696.400024,1683.199951,1687.099976,1687.099976,56347533
2020-01-22,1694.000000,1697.099976,1680.400024,1682.099976,1682.099976,39897644
2020-01-23,1682.199951,1690.300049,1664.900024,1687.599976,1687.599976,44887030
2020-01-24,1688.699951,1694.300049,1652.500000,1662.900024,1662.900024,51832129
2020-01-26,1651.099976,1652.199951,1641.000000,1644.000000,1644.000000,239259
2020-01-27,1648.099976,1655.199951,1634.300049,1647.699951,1647.699951,74668026
2020-01-28,1652.699951,1664.300049,1646.599976,1657.599976,1657.599976,52610821
